id_estudiante,Artes,Biología,C-Sociales,Economía,Edu-Física,Español,Filosofía,Informática,Inglés,Matemáticas,Religión,Ing. de Sistemas Afines,Ing. Industria,Medicina,Enfermería,Derecho,Adm Empresas ,Psicología,Contaduría,Ing Ambiental,Ing Electrónica,Marketing Digital,Ing Mecánica ,Arquitectura,Educación(STEM),Economía-finanzas,Finanzas RelacionesInte,Ing Agronómica,Biología y Biotecnología ,Diseño Gráfico Industrial ,Turismo y Hospitalidad ,carrera_predominante,puntaje_carrera_predominante
1,2.97,4.19,3.9,4.23,4.99,1.03,4.39,4.63,1.53,1.98,1.74,3.2395,3.156,3.3745,3.4715000000000003,3.0895000000000006,3.244,3.0415000000000005,3.2360000000000007,3.244500000000001,3.2380000000000004,3.2535,3.2180000000000004,3.0980000000000003,3.154,3.2075000000000005,3.1885,3.244500000000001,3.3795000000000006,3.1695,3.0945000000000005,Enfermería_10_3,3.4715000000000003
2,2.9,4.88,4.48,1.87,4.27,3.32,2.88,2.08,3.93,3.43,4.42,3.1495,3.3790000000000004,3.5125,3.4914999999999994,3.4545000000000003,3.1705000000000005,3.6135,3.12,3.5915,3.415,3.166,3.4045,3.1745,3.5295,3.2905000000000006,3.4565,3.5915,3.584,3.008,3.3720000000000003,Psicología_10_3,3.6135
3,4.9,3.79,3.99,1.63,1.88,2.94,1.7,3.1,4.52,1.11,1.73,2.8935,2.8935,2.8335000000000004,2.9315,2.882,2.7515,3.004,2.748,3.0620000000000003,2.8655,3.0655,2.792,3.184,3.0015,2.7960000000000003,3.1580000000000004,3.0620000000000003,3.0815,3.3390000000000004,3.295,Diseño Gráfico Industrial _10_3,3.3390000000000004
4,4.86,4.43,2.13,2.72,2.84,2.16,2.1,3.38,3.09,1.46,2.05,2.878,2.8215,3.0105,3.1455,2.4685,2.62,2.6135,2.651,3.0225000000000004,2.9345000000000008,2.7985,2.9015000000000004,3.1495,2.907,2.5575,2.6425,3.0225000000000004,3.1695,3.2670000000000003,2.814,Diseño Gráfico Industrial _10_3,3.2670000000000003
5,1.01,2.77,4.06,2.87,3.55,4.15,4.87,4.31,1.31,1.45,2.21,2.8325,2.885,3.0895,2.9325,3.6575,3.0535,3.238,2.9535,2.874,2.7575000000000003,3.0905,2.6855,2.6225,2.88,3.041,3.1655,2.874,2.9805000000000006,2.6775,3.148,Derecho_10_3,3.6575
6,4.92,3.56,2.1,4.67,3.92,4.25,3.95,2.47,4.66,2.2,2.36,3.3405,3.3560000000000003,3.7465000000000006,3.7800000000000007,3.4225000000000003,3.536,3.4130000000000003,3.572,3.4785000000000004,3.216500000000001,3.4750000000000005,3.3265,3.701000000000001,3.3005,3.5175000000000005,3.402,3.4785000000000004,3.639,3.7825000000000006,3.6455,Diseño Gráfico Industrial _10_3,3.7825000000000006
7,3.26,2.85,3.14,1.9,2.33,2.3,3.58,4.39,3.69,4.16,1.86,3.572,3.3629999999999995,2.957,3.005,2.9130000000000003,3.1765000000000003,3.1505,3.0925,3.2205,3.566,3.318,3.4415000000000004,3.3445000000000005,3.4105,3.1140000000000003,3.277,3.2205,3.177,3.3765,3.1900000000000004,Ing. de Sistemas Afines_10_3,3.572
8,2.55,1.71,2.88,3.98,1.48,2.23,3.08,2.03,2.8,3.96,2.67,2.8255,2.8235,2.6500000000000004,2.6660000000000004,2.7835000000000005,3.049,2.781,3.094,2.6950000000000003,2.754,2.841,2.8515,2.7785,2.7100000000000004,3.0915,2.881,2.6950000000000003,2.5925,2.724,2.778,Contaduría_10_3,3.094
9,1.57,4.35,1.31,3.69,2.73,4.71,1.48,3.23,1.36,4.9,4.4,3.249,3.3765,3.4955000000000007,3.3385000000000007,3.0185000000000004,3.0435000000000003,2.896000000000001,3.1540000000000004,3.405,3.515000000000001,2.9310000000000005,3.5380000000000003,3.084,3.4095,2.9475,2.6285000000000003,3.405,3.386,2.8615000000000004,2.632000000000001,Ing Mecánica _10_3,3.5380000000000003
10,2.17,4.93,2.1,2.2,1.89,2.04,3.5,3.3,4.3,3.23,3.34,3.3195,3.228,3.2295,3.236,2.6285000000000003,2.9085,3.0475000000000003,2.8435,3.3945000000000003,3.4840000000000004,3.007,3.4290000000000003,3.0405,3.3645,2.8485000000000005,2.952,3.3945000000000003,3.5495,2.906,2.8960000000000004,Biología y Biotecnología _10_3,3.5495
11,4.91,4.96,1.93,1.03,1.02,2.12,1.61,1.56,1.11,4.07,1.79,2.498,2.737,2.807,2.9465000000000003,2.2215000000000003,2.2395000000000005,2.4240000000000004,2.2105,2.9515,3.0125,2.1155,2.986,2.9255000000000004,2.9335000000000004,2.258,2.1815,2.9515,2.9800000000000004,2.7975000000000003,2.233,Ing Electrónica_10_3,3.0125
12,4.2,3.65,1.72,4.91,1.24,3.33,2.51,3.44,2.95,1.25,4.57,2.9965,2.94,3.202,3.2455000000000003,2.9855,3.043,2.861,3.1630000000000003,3.0705,2.859,3.101,2.9325,3.2390000000000003,2.877,2.9570000000000003,2.809,3.0705,3.23,3.3760000000000003,3.037,Diseño Gráfico Industrial _10_3,3.3760000000000003
13,3.93,1.19,2.43,3.7,4.86,2.64,3.06,1.96,2.92,4.82,3.89,2.984,2.955,2.8415000000000004,2.906,2.886,3.1415,2.908000000000001,3.1735,2.735,2.915,2.9045000000000005,3.0020000000000007,3.1225,2.8295000000000003,3.165,2.9195,2.735,2.5850000000000004,3.1165000000000003,2.885500000000001,Contaduría_10_3,3.1735
14,3.2,2.26,2.19,4.12,3.26,2.27,4.05,3.5,1.21,2.35,4.98,2.7500000000000004,2.6755,2.8315,2.878,2.949,2.881,2.758,2.8845,2.609,2.652,2.7655,2.683,2.8155,2.5825,2.8155,2.631,2.609,2.6975,2.92,2.6775000000000007,Derecho_10_3,2.949
15,4.62,2.91,1.59,2.56,1.49,3.46,3.36,2.38,1.32,2.79,2.14,2.5495,2.6435000000000004,2.8155,2.8735,2.7645,2.5975,2.628000000000001,2.5575,2.676,2.667,2.466,2.676,2.972,2.6610000000000005,2.5580000000000003,2.427,2.676,2.7705,3.037,2.612,Diseño Gráfico Industrial _10_3,3.037
16,3.14,2.45,3.48,4.54,4.0,1.39,2.74,4.64,1.89,2.3,3.29,3.14,2.9475,2.8635,2.951,2.8735000000000004,3.1205000000000007,2.76,3.2105,2.8455000000000004,2.9465000000000003,3.2,2.9415000000000004,3.007,2.843,3.0625,2.994,2.8455000000000004,2.8160000000000003,3.1585,2.9315,Contaduría_10_3,3.2105
17,2.09,1.23,2.0,1.23,4.37,1.57,1.64,1.23,4.06,1.7,1.06,1.8675,1.7815,1.749,1.7749999999999997,1.6269999999999998,1.817,1.8609999999999995,1.7965,1.758,1.7495,1.9145,1.7495,1.8485,1.7815,1.8555,2.012,1.758,1.7165,1.868,2.01,Finanzas RelacionesInte_10_3,2.012
18,4.25,1.78,3.98,4.06,1.74,4.34,1.18,2.01,4.27,2.74,3.78,2.9625,3.053,2.9094999999999995,2.905,3.391,3.3015000000000003,3.208,3.4455000000000005,2.9935,2.7605,3.317,2.863,3.2655000000000003,2.939,3.4,3.37,2.9935,2.8055,3.3525000000000005,3.4635,Turismo y Hospitalidad _10_3,3.4635
19,2.34,3.73,4.0,1.82,4.0,2.69,2.17,4.7,3.52,1.66,1.28,3.15,3.0249999999999995,2.92,2.9025,2.8655,2.8245000000000005,2.927,2.807,3.08,3.104,3.188,2.96,2.9065,3.1204999999999994,2.7895,3.1355000000000004,3.08,3.092,2.989,3.104,Marketing Digital_10_3,3.188
20,2.85,2.63,2.91,4.34,3.25,2.7,4.71,4.38,1.5,3.4,2.01,3.3555,3.2545,3.269,3.2765,3.3065,3.4175000000000004,3.1255,3.399,3.1285,3.2775000000000003,3.308,3.2755,3.2350000000000003,3.169,3.3440000000000003,3.1795,3.1285,3.18,3.295,3.1415,Adm Empresas _10_3,3.4175000000000004
21,3.05,2.96,4.47,3.88,2.03,2.5,2.43,2.03,4.3,1.14,4.27,2.6870000000000003,2.7655000000000003,2.848,2.8755,3.1675,3.044,3.135,3.1165,2.903,2.5295,3.0895,2.622,2.7945,2.7195,3.1660000000000004,3.261,2.903,2.892,2.8435,3.258,Finanzas RelacionesInte_10_3,3.261
22,4.13,3.02,2.77,1.41,4.37,1.42,4.6,1.98,2.14,2.02,4.71,2.309,2.3645,2.6110000000000007,2.7465000000000006,2.6715,2.372,2.7865,2.2125,2.4665,2.4355,2.2755,2.407,2.5935,2.445,2.4115,2.514,2.4665,2.608,2.647,2.5520000000000005,Psicología_10_3,2.7865
23,3.93,3.93,3.49,4.89,2.88,3.15,1.72,4.0,2.49,3.89,3.34,3.648,3.652,3.5890000000000004,3.628,3.3615000000000004,3.614,3.2675,3.7725,3.6505,3.666500000000001,3.6135,3.711,3.676,3.604,3.5885,3.404,3.6505,3.564,3.6815,3.389,Contaduría_10_3,3.7725
24,3.88,2.46,3.0,4.7,1.89,2.5,4.58,3.15,4.6,1.14,3.15,3.1195000000000004,2.9725,3.093,3.1620000000000004,3.221,3.361,3.2260000000000004,3.367,3.004,2.8000000000000003,3.385,2.8775000000000004,3.2245,2.8605,3.3535000000000004,3.364,3.004,3.149,3.3959999999999995,3.476,Turismo y Hospitalidad _10_3,3.476
25,2.78,3.46,3.68,3.61,2.9,4.84,4.41,1.48,2.94,4.4,2.17,3.1835000000000004,3.4875,3.7025,3.5995,3.867,3.613,3.7054999999999993,3.5730000000000004,3.5395000000000003,3.348,3.2869999999999995,3.4545000000000003,3.3275,3.4800000000000004,3.723,3.547,3.5395000000000003,3.5290000000000004,3.1475,3.524,Derecho_10_3,3.867
