id_estudiante,Artes,Biología,C-Sociales,Economía,Edu-Física,Español,Filosofía,Informática,Inglés,Matemáticas,Religión,Ing. de Sistemas Afines,Ing. Industria,Medicina,Enfermería,Derecho,Adm Empresas ,Psicología,Contaduría,Ing Ambiental,Ing Electrónica,Marketing Digital,Ing Mecánica ,Arquitectura,Educación(STEM),Economía-finanzas,Finanzas RelacionesInte,Ing Agronómica,Biología y Biotecnología ,Diseño Gráfico Industrial ,Turismo y Hospitalidad ,carrera_predominante,puntaje_carrera_predominante
1,4.64,1.38,3.55,1.78,4.39,4.66,4.55,4.43,2.35,1.61,2.59,2.968,2.887,2.895,2.894,3.6455,3.03,3.2975,2.8915,2.7229999999999994,2.7585,3.1935,2.626,3.256,2.867,2.986,3.244,2.7229999999999994,2.7615,3.56,3.451,Derecho_8_1,3.6455
2,1.57,1.87,2.54,4.42,4.04,4.55,1.09,3.25,2.2,4.21,1.41,3.101,3.1140000000000003,3.023,2.874,2.9935,3.1775000000000007,2.7145,3.3440000000000003,2.9280000000000004,3.005,3.1265,3.0635000000000003,2.9185000000000003,2.9865000000000004,3.1420000000000003,2.889,2.9280000000000004,2.7385,2.8555,2.8575000000000004,Contaduría_8_1,3.3440000000000003
3,1.98,2.11,1.3,2.15,3.35,2.43,3.63,1.6,4.34,2.27,2.24,2.398,2.313,2.433,2.4105,2.2020000000000004,2.37,2.4395,2.296,2.3305,2.318,2.3445,2.3455,2.326,2.311,2.3550000000000004,2.3885,2.3305,2.439,2.286,2.4305,Psicología_8_1,2.4395
4,3.82,3.21,3.6,4.38,3.59,1.29,2.49,2.31,4.08,3.74,2.55,3.2565000000000004,3.2265,3.1460000000000004,3.2725,2.8155,3.3455,3.043,3.4399999999999995,3.245,3.226,3.2500000000000004,3.3295,3.272,3.168,3.41,3.2845,3.245,3.163,3.231,3.173,Contaduría_8_1,3.4399999999999995
5,3.66,1.95,4.75,2.65,2.17,2.73,4.65,4.0,4.97,1.52,3.76,3.2990000000000004,3.122,2.889,2.9355,3.577000000000001,3.386,3.6045,3.286,3.0409999999999995,2.989,3.5935,2.9215,3.26,3.087,3.4235,3.7685,3.0409999999999995,3.057500000000001,3.4695,3.7745,Turismo y Hospitalidad _8_1,3.7745
6,4.69,1.69,3.32,1.51,2.38,2.98,4.89,1.5,3.97,2.34,1.58,2.5525,2.6035000000000004,2.6120000000000005,2.6975,3.0495,2.8040000000000003,3.1085000000000007,2.635,2.5805,2.4895,2.7155,2.49,2.9395,2.6125,2.8950000000000005,3.0665,2.5805,2.6265,3.0475000000000003,3.1670000000000003,Turismo y Hospitalidad _8_1,3.1670000000000003
7,3.6,4.5,1.85,3.03,3.42,3.63,1.81,4.12,4.42,2.67,4.04,3.5245,3.3905000000000003,3.4425,3.441,2.8910000000000005,3.087,3.0845,3.148,3.501,3.5295,3.3445,3.475,3.4795000000000003,3.4640000000000004,2.9735000000000005,3.0565,3.501,3.5905,3.507,3.192,Biología y Biotecnología _8_1,3.5905
8,1.64,3.34,3.16,2.53,2.96,1.12,1.77,4.87,3.56,2.96,1.22,3.315,3.031,2.665,2.691,2.2900000000000005,2.805,2.5645,2.843,2.9735,3.249,3.107,3.132,2.804,3.0715000000000003,2.7195,2.898,2.9735,2.923,2.8145,2.73,Ing. de Sistemas Afines_8_1,3.315
9,4.55,4.87,4.73,3.87,3.51,2.27,3.05,4.9,4.15,3.24,2.43,4.099500000000001,3.9955,3.8595000000000006,3.973500000000001,3.5940000000000003,3.8775,3.7575,3.9185,4.0755,4.102500000000001,4.067,4.051,4.036,4.0455000000000005,3.8690000000000007,4.009,4.0755,4.073,4.103,3.9515000000000007,Diseño Gráfico Industrial _8_1,4.103
10,1.59,4.53,2.26,2.15,3.13,3.31,1.17,4.44,2.41,2.73,1.29,3.1020000000000003,3.0425000000000004,3.0330000000000004,2.947,2.512,2.6175,2.5645,2.6665,3.1370000000000005,3.2415000000000003,2.8795,3.127,2.805,3.1615,2.5085,2.6125000000000003,3.1370000000000005,3.1725000000000003,2.7435000000000005,2.608,Ing Electrónica_8_1,3.2415000000000003
11,1.25,1.25,2.56,1.53,2.44,2.61,4.66,4.86,1.41,2.13,2.29,2.6845000000000003,2.4490000000000003,2.2385,2.1705,2.7335,2.4885,2.578,2.332,2.2245,2.526,2.629,2.3595,2.3395,2.435,2.3735000000000004,2.5555000000000003,2.2245,2.2855,2.4760000000000004,2.514,Derecho_8_1,2.7335
12,4.09,1.87,1.42,1.33,3.1,1.14,3.77,4.01,2.55,2.32,2.61,2.69,2.383,2.2055,2.353,2.0835,2.272,2.2964999999999995,2.15,2.2535,2.5985,2.4295,2.4645,2.716,2.41,2.1425,2.2925000000000004,2.2535,2.3485,2.9115,2.367,Diseño Gráfico Industrial _8_1,2.9115
