id_estudiante,Artes,Biología,C-Sociales,Economía,Edu-Física,Español,Filosofía,Informática,Inglés,Matemáticas,Religión,Ing. de Sistemas Afines,Ing. Industria,Medicina,Enfermería,Derecho,Adm Empresas ,Psicología,Contaduría,Ing Ambiental,Ing Electrónica,Marketing Digital,Ing Mecánica ,Arquitectura,Educación(STEM),Economía-finanzas,Finanzas RelacionesInte,Ing Agronómica,Biología y Biotecnología ,Diseño Gráfico Industrial ,Turismo y Hospitalidad ,carrera_predominante,puntaje_carrera_predominante
1,1.83,2.22,2.02,2.88,4.28,2.09,2.32,3.33,3.95,2.51,4.57,2.85,2.636,2.554,2.541,2.3865000000000003,2.627,2.564,2.655,2.566,2.6895,2.772,2.6670000000000003,2.5730000000000004,2.603,2.561500000000001,2.613,2.566,2.5665,2.5945,2.5825,Ing. de Sistemas Afines_9_2,2.85
2,4.02,2.52,2.61,4.63,1.12,4.06,4.52,4.81,4.62,1.54,4.07,3.679,3.4265,3.3985,3.3965,3.6565,3.6765,3.5535,3.682,3.361,3.3050000000000006,3.854,3.2960000000000003,3.696,3.321,3.5665,3.6285,3.361,3.5055,3.9345,3.825,Diseño Gráfico Industrial _9_2,3.9345
3,4.73,4.37,4.09,4.74,3.63,2.3,1.13,2.98,2.64,3.19,2.22,3.3025,3.4105,3.484,3.6055,3.1155,3.4,3.0860000000000007,3.5805,3.539,3.381,3.377,3.469,3.537500000000001,3.3920000000000003,3.4555,3.3075,3.539,3.45,3.545000000000001,3.295,Enfermería_9_2,3.6055
4,3.24,3.57,3.21,1.8,2.72,2.32,2.28,3.21,4.87,1.64,4.92,2.9505,2.841,2.765,2.8109999999999995,2.7335,2.696,2.9985000000000004,2.672,2.9555,2.8955,2.9745000000000004,2.825,2.906,2.9295,2.696,2.9985000000000004,2.9555,3.0055000000000005,2.968,3.034,Turismo y Hospitalidad _9_2,3.034
5,4.29,4.54,1.76,4.09,3.24,1.95,1.91,1.16,4.33,3.44,1.28,2.986,3.0660000000000003,3.3149999999999995,3.4319999999999995,2.3585,2.9745,2.703,3.0835,3.29,3.133,2.8349999999999995,3.2795,3.2225,3.0885,3.0045,2.786,3.29,3.3525,3.096,2.8380000000000005,Enfermería_9_2,3.4319999999999995
6,4.68,1.35,2.04,2.57,3.39,3.17,3.66,1.09,2.7,1.58,2.77,2.063,2.147,2.4175,2.493,2.6820000000000004,2.4205,2.551,2.366,2.1485000000000003,1.959,2.274,2.0330000000000004,2.6005000000000003,2.0860000000000003,2.468,2.4235,2.1485000000000003,2.218,2.7425,2.635,Diseño Gráfico Industrial _9_2,2.7425
7,3.55,4.4,3.1,2.62,3.98,2.1,1.85,4.54,3.49,4.14,1.58,3.7185,3.57,3.3400000000000003,3.4125,2.75,3.2055,3.0300000000000007,3.244,3.5760000000000005,3.833,3.4035,3.737,3.5205,3.659,3.1335,3.221,3.5760000000000005,3.526500000000001,3.498,3.1415,Ing Electrónica_9_2,3.833
8,4.12,2.34,4.94,4.43,1.46,1.58,1.85,3.86,1.86,4.75,2.87,3.4955000000000003,3.4595,2.9585000000000004,3.0855,3.2475,3.5775,3.1615,3.7065,3.263,3.4595,3.505,3.4879999999999995,3.476,3.355,3.6315,3.484,3.263,2.9880000000000004,3.5205,3.2845,Contaduría_9_2,3.7065
9,2.4,3.03,2.46,1.24,1.73,2.39,3.1,2.26,2.87,2.07,4.58,2.354,2.3785000000000003,2.405,2.4054999999999995,2.5185,2.261,2.6365,2.168,2.465,2.442,2.31,2.391,2.3605,2.4680000000000004,2.271,2.423,2.465,2.545,2.3385,2.436,Psicología_9_2,2.6365
10,2.55,4.67,2.64,3.94,2.11,3.7,3.65,4.4,1.52,4.67,1.48,3.75,3.784500000000001,3.8065,3.749000000000001,3.415,3.5725,3.3350000000000004,3.587,3.798,3.957500000000001,3.4755,3.9345000000000008,3.5680000000000005,3.8210000000000006,3.4845,3.2850000000000006,3.798,3.848500000000001,3.448500000000001,3.2320000000000007,Ing Electrónica_9_2,3.957500000000001
11,3.13,2.05,1.47,2.94,2.46,3.17,2.88,3.38,3.78,1.15,2.95,2.6735,2.481,2.543,2.5409999999999995,2.519,2.561,2.5195,2.564,2.4595,2.431,2.7395000000000005,2.4090000000000003,2.717,2.4365,2.4655,2.5455000000000005,2.4595,2.575,2.8825000000000003,2.7295,Diseño Gráfico Industrial _9_2,2.8825000000000003
12,4.74,4.52,1.91,1.21,4.75,4.13,2.49,4.21,4.23,1.84,4.69,3.2915,3.187,3.3560000000000003,3.3865,3.0045,2.7735000000000003,3.1765000000000003,2.7095,3.3365,3.353,3.1290000000000004,3.2030000000000003,3.4845,3.3525,2.6585,2.963,3.3365,3.4995000000000003,3.614,3.219,Diseño Gráfico Industrial _9_2,3.614
13,3.32,3.02,3.27,1.35,2.14,4.62,2.99,4.41,4.1,2.33,4.39,3.3305,3.2300000000000004,3.0445,2.9795,3.4295,3.0390000000000006,3.4140000000000006,2.957,3.1950000000000003,3.2560000000000007,3.3515,3.103,3.297,3.3135000000000003,2.982,3.3195,3.1950000000000003,3.2155,3.4160000000000004,3.4365,Turismo y Hospitalidad _9_2,3.4365
14,1.41,1.84,3.64,2.4,2.74,1.48,2.44,1.2,4.15,4.21,4.67,2.637,2.6575,2.364,2.3605,2.5525,2.747,2.82,2.745,2.571,2.644,2.622,2.704,2.3845,2.6295,2.869,2.8680000000000003,2.571,2.3925,2.2125,2.62,Economía-finanzas_9_2,2.869
