id_estudiante,Artes,Biología,C-Sociales,Economía,Edu-Física,Español,Filosofía,Informática,Inglés,Matemáticas,Religión,Ing. de Sistemas Afines,Ing. Industria,Medicina,Enfermería,Derecho,Adm Empresas ,Psicología,Contaduría,Ing Ambiental,Ing Electrónica,Marketing Digital,Ing Mecánica ,Arquitectura,Educación(STEM),Economía-finanzas,Finanzas RelacionesInte,Ing Agronómica,Biología y Biotecnología ,Diseño Gráfico Industrial ,Turismo y Hospitalidad ,carrera_predominante,puntaje_carrera_predominante
1,4.48,1.8,2.22,3.87,4.38,2.18,4.69,2.07,3.98,4.24,1.38,3.208,3.112,3.107,3.2220000000000004,2.889,3.349,3.0665,3.3080000000000003,2.9765,3.104,3.115,3.194,3.371,3.0085,3.3565000000000005,3.1710000000000003,2.9765,2.978,3.3965000000000005,3.181,Diseño Gráfico Industrial _8_2,3.3965000000000005
2,1.64,4.23,1.77,1.23,2.18,4.62,2.6,4.95,2.12,4.81,1.14,3.5950000000000006,3.5250000000000004,3.309,3.16,2.9490000000000003,2.9555,3.001,2.887,3.4600000000000004,3.8435000000000006,3.1245000000000003,3.6575000000000006,3.2305,3.6750000000000007,2.7965,2.875,3.4600000000000004,3.4725000000000006,3.108,2.859,Ing Electrónica_8_2,3.8435000000000006
3,3.9,4.28,1.83,3.15,1.51,4.95,3.43,2.22,3.77,3.57,4.14,3.2830000000000004,3.4255,3.646500000000001,3.5940000000000003,3.43,3.286,3.4555000000000007,3.272,3.564,3.4325,3.189,3.479,3.5265000000000004,3.4820000000000007,3.2665000000000006,3.1640000000000006,3.564,3.6795,3.4400000000000004,3.3365000000000005,Biología y Biotecnología _8_2,3.6795
4,2.67,4.71,3.77,1.25,3.95,4.29,3.9,4.62,3.36,1.21,3.96,3.2285,3.237,3.438,3.357,3.5835000000000004,2.983,3.5354999999999994,2.8505000000000003,3.4165,3.2985000000000007,3.295,3.13,3.1530000000000005,3.41,2.9405,3.3425,3.4165,3.598,3.2215,3.4415000000000004,Biología y Biotecnología _8_2,3.598
5,2.73,3.27,1.77,2.52,1.0,3.34,3.63,1.48,1.11,2.58,1.41,2.205,2.4205,2.722,2.6915,2.6474999999999995,2.4125,2.5025000000000004,2.357,2.5445,2.4055,2.1795,2.4575,2.4490000000000003,2.458,2.4270000000000005,2.264,2.5445,2.6720000000000006,2.3670000000000004,2.35,Medicina_8_2,2.722
6,4.75,2.2,4.43,1.82,2.66,3.06,4.78,4.91,4.81,4.11,4.18,4.024,3.777,3.249,3.3335000000000004,3.779,3.7485,3.957,3.6005000000000003,3.5460000000000003,3.872500000000001,3.9445,3.718,3.9525,3.796,3.7245,4.0445,3.5460000000000003,3.468,4.12,4.008,Diseño Gráfico Industrial _8_2,4.12
7,4.17,3.76,2.45,4.47,2.85,1.5,3.48,2.55,3.05,4.51,1.32,3.4,3.378,3.388,3.5215,2.772,3.3925,2.9945,3.442,3.401,3.498,3.177,3.594,3.4675,3.3425,3.3875,3.1175000000000006,3.401,3.415,3.390000000000001,3.0529999999999995,Ing Mecánica _8_2,3.594
8,2.44,2.68,2.1,2.88,2.03,2.08,4.11,2.93,3.36,2.26,3.84,2.781,2.663,2.6940000000000004,2.712,2.657,2.7339999999999995,2.783,2.6725,2.6715,2.7035,2.7325,2.701,2.677,2.653,2.6925,2.711,2.6715,2.793,2.6985,2.7190000000000003,Biología y Biotecnología _8_2,2.793
9,3.64,4.89,4.65,4.95,3.19,1.22,2.78,3.25,3.67,3.59,3.65,3.6795,3.709,3.705,3.826,3.3305,3.7445,3.5195000000000003,3.853,3.856,3.7545,3.687,3.8395,3.5985,3.706,3.8145,3.7185,3.856,3.8275,3.519,3.5495,Ing Ambiental_8_2,3.856
10,3.11,1.41,3.9,2.62,4.01,1.18,3.14,4.66,1.23,4.13,4.25,3.145,2.942,2.495,2.5915,2.881,2.9755,2.837,2.9495,2.6435,3.067,3.0085,2.965,2.9365,2.8815000000000004,2.9375000000000004,2.9585,2.6435,2.4695,3.048,2.7715,Ing. de Sistemas Afines_8_2,3.145
